NAME,TEAM,POSITION,PASS_YARDS,PASS_TD,INTERCEPTIONS,RUSH_YARDS,RUSH_TD,REC_YARDS,REC_TD,FUM_TD,TWO_PT,FUM_LOST
Carlos Hyde,CLE,RB,0,0,0,938,8,350,0,0,0,1
Dion Lewis,TEN,RB,0,0,0,896,6,214,3,0,0,0
Devonta Freeman,ATL,RB,0,0,0,865,7,317,1,0,0,1
Lamar Miller,HOU,RB,0,0,0,888,3,327,3,0,0,0
Christian McCaffrey,CAR,RB,0,0,0,435,2,651,5,0,0,1
Alex Collins,BAL,RB,0,0,0,973,6,187,0,0,0,2
C.J. Anderson,CAR,RB,0,0,0,1007,3,224,1,0,1,1
Frank Gore,MIA,RB,0,0,0,961,3,245,1,0,0,0
Marshawn Lynch,OAK,RB,0,0,0,891,7,151,0,0,0,1
Latavius Murray,MIN,RB,0,0,0,842,8,103,0,0,0,0
Duke Johnson,CLE,RB,0,0,0,348,4,693,3,0,0,2
Tevin Coleman,ATL,RB,0,0,0,628,5,299,3,0,0,0
DeMarco Murray,NFL,RB,0,0,0,659,6,266,1,0,0,1
Jerick McKinnon,SF,RB,0,0,0,570,3,421,2,0,1,2
Derrick Henry,TEN,RB,0,0,0,744,5,136,1,0,0,0
Bilal Powell,NYJ,RB,0,0,0,772,5,170,0,0,0,1
Javorius Allen,BAL,RB,0,0,0,591,4,250,2,0,0,0
Orleans Darkwa,NFL,RB,0,0,0,751,5,116,0,0,1,0
Jamaal Williams,GB,RB,0,0,0,556,4,262,2,0,0,0
Isaiah Crowell,NYJ,RB,0,0,0,853,2,182,0,0,1,1
Chris Thompson,WAS,RB,0,0,0,294,2,510,4,0,0,2
Joe Mixon,CIN,RB,0,0,0,626,4,287,0,0,0,2
Jay Ajayi,PHI,RB,0,0,0,873,1,158,1,0,0,2
Kenyan Drake,MIA,RB,0,0,0,644,3,239,1,0,1,2
Jonathan Stewart,NYG,RB,0,0,0,680,6,52,1,0,0,3
Giovani Bernard,CIN,RB,0,0,0,458,2,389,2,0,0,0
Theo Riddick,DET,RB,0,0,0,286,3,444,2,0,0,1
Rex Burkhead,NE,RB,0,0,0,264,5,254,3,0,0,0
LeGarrette Blount,DET,RB,0,0,0,766,2,50,1,0,1,1
Ameer Abdullah,DET,RB,0,0,0,552,4,162,1,0,0,1
Tarik Cohen,CHI,RB,21,1,0,370,2,353,1,0,0,2
Samaje Perine,WAS,RB,0,0,0,603,1,182,1,0,0,2
Matt Breida,SF,RB,0,0,0,465,2,180,1,0,0,0
Corey Clement,PHI,RB,0,0,0,321,4,123,2,0,1,0
Marlon Mack,IND,RB,0,0,0,358,3,225,1,0,0,0
Austin Ekeler,LAC,RB,0,0,0,260,2,279,3,0,0,2
James White,NE,RB,0,0,0,171,0,429,3,0,0,0
Rod Smith,DAL,RB,0,0,0,232,4,202,1,0,0,0
Aaron Jones,GB,RB,0,0,0,448,4,22,0,0,0,0
Wayne Gallman,NYG,RB,0,0,0,476,0,193,1,0,0,1
Peyton Barber,TB,RB,0,0,0,423,3,114,0,0,0,1
Ty Montgomery,GB,RB,0,0,0,273,3,173,1,0,0,0
Adrian Peterson,NFL,RB,0,0,0,529,2,70,0,0,0,2
Mike Gillislee,NE,RB,0,0,0,383,5,15,0,0,0,1
Doug Martin,OAK,RB,0,0,0,406,3,84,0,0,1,1
Alfred Morris,NFL,RB,0,0,0,547,1,45,0,0,0,0
Chris Ivory,BUF,RB,0,0,0,382,1,175,1,0,0,2
Devontae Booker,DEN,RB,0,0,0,299,1,275,0,0,0,1
Elijah McGuire,NYJ,RB,0,0,0,315,1,177,1,0,1,2
Jalen Richard,OAK,RB,0,0,0,275,1,256,1,0,0,3
Kerwynn Williams,KC,RB,0,0,0,426,1,93,0,0,0,0
T.J. Yeldon,JAX,RB,0,0,0,253,2,224,0,0,0,1
Dalvin Cook,MIN,RB,0,0,0,354,2,90,0,0,0,1
D'Onta Foreman,HOU,RB,0,0,0,327,2,83,0,0,0,1
DeAndre Washington,OAK,RB,0,0,0,153,2,197,1,0,0,1
Andre Ellington,NFL,RB,0,0,0,55,1,369,0,0,0,0
Charcandrick West,KC,RB,0,0,0,72,2,150,2,0,0,0
Jamaal Charles,NFL,RB,0,0,0,296,1,129,0,0,0,2
Shane Vereen,NFL,RB,0,0,1,164,0,253,0,0,0,0
Damien Williams,KC,RB,0,0,0,181,0,155,1,0,0,0
Rob Kelley,WAS,RB,0,0,0,194,3,18,0,0,0,0
Corey Grant,JAX,RB,0,0,0,248,2,41,0,0,0,1
Charles Sims,TB,RB,0,0,0,95,0,249,1,0,0,1
Jacquizz Rodgers,TB,RB,0,0,0,244,1,74,0,0,0,0
Alfred Blue,HOU,RB,0,0,0,262,1,54,0,0,0,0
Mike Davis,SEA,RB,0,0,0,240,0,131,0,0,0,0
Benny Cunningham,CHI,RB,0,0,0,29,0,240,2,0,0,1
Kyle Juszczyk,SF,RB,0,0,0,31,0,315,1,0,0,2
Mike Tolbert,NFL,RB,0,0,0,247,1,78,0,0,0,1
Malcolm Brown,LA,RB,0,0,0,246,1,53,0,0,0,0
Rhett Ellison,NYG,RB,0,0,0,0,0,235,2,0,0,0
Wendell Smallwood,PHI,RB,0,0,0,174,1,103,0,0,0,0
Chris Carson,SEA,RB,0,0,0,208,0,59,1,0,0,0
Tion Green,NFL,RB,0,0,0,165,2,14,0,0,0,0
Elijhaa Penny,ARI,RB,0,0,0,124,2,38,0,0,0,0
Kapri Bibbs,WAS,RB,0,0,0,79,0,128,1,0,0,0
De'Anthony Thomas,KC,RB,0,0,0,4,0,143,2,0,0,0
Thomas Rawls,NYJ,RB,0,0,0,157,0,94,0,0,0,1
Tommy Bohanon,JAX,RB,0,0,0,5,2,43,1,0,0,0
Eddie Lacy,NFL,RB,0,0,0,179,0,47,0,0,0,0
Travaris Cadet,BUF,RB,0,0,0,96,0,119,0,0,0,0
Robert Turbin,IND,RB,0,0,0,53,1,56,0,0,0,0
Stevan Ridley,PIT,RB,0,0,0,108,1,0,0,0,0,0
Cameron Artis-Payne,CAR,RB,0,0,0,95,1,2,0,0,0,0
Anthony Sherman,KC,RB,0,0,0,40,1,47,0,0,0,0
James Conner,PIT,RB,0,0,0,144,0,0,0,0,0,0
C.J. Ham,MIN,RB,0,0,0,13,1,68,0,0,0,0
Jamize Olawale,DAL,RB,0,0,0,43,1,33,0,0,0,0
Paul Perkins,NYG,RB,0,0,0,90,0,46,0,0,0,0
Jeremy Hill,NE,RB,0,0,0,116,0,16,0,0,0,0
Roosevelt Nix,PIT,RB,0,0,0,0,1,6,1,0,0,0
Fozzy Whittaker,CAR,RB,0,0,0,18,0,47,1,0,0,0
Terron Ward,NFL,RB,0,0,0,129,0,14,0,0,0,1
Darren Sproles,PHI,RB,0,0,0,61,0,73,0,0,0,1
C.J. Prosise,SEA,RB,0,0,0,23,0,87,0,0,0,0
De'Angelo Henderson Sr.,DEN,RB,0,0,0,13,0,36,1,0,0,0
Andy Janovich,DEN,RB,0,0,0,12,1,35,0,0,0,0
Zach Line,NO,RB,0,0,0,28,0,8,1,0,0,0
Zach Zenner,DET,RB,0,0,0,26,1,0,0,0,0,0
Brandon Bolden,NE,RB,0,0,0,67,0,7,0,0,0,0
Brian Hill,CIN,RB,0,0,0,37,0,36,0,0,0,0
David Johnson,ARI,RB,0,0,0,23,0,67,0,0,0,1
Tre Madden,SEA,RB,0,0,0,0,0,65,0,0,0,0
Jalston Fowler,SEA,RB,0,0,0,4,1,0,0,0,0,0
Derek Watt,LAC,RB,0,0,0,24,0,35,0,0,0,0
Dwayne Washington,DET,RB,0,0,0,44,0,14,0,0,0,0
Akeem Hunt,NFL,RB,0,0,0,23,0,31,0,0,0,0
Aaron Ripkowski,GB,RB,0,0,0,13,0,39,0,0,0,0
Tyler Ervin,HOU,RB,0,0,0,12,0,38,0,0,0,0
Marcus Murphy,BUF,RB,0,0,0,41,0,7,0,0,0,0
Matt Dayes,CLE,RB,0,0,0,13,0,29,0,0,0,0
Mack Brown,MIN,RB,0,0,0,29,0,11,0,0,0,0
James Develin,NE,RB,0,0,0,0,0,38,0,0,0,0
Fitzgerald Toussaint,PIT,RB,0,0,0,25,0,9,0,0,0,0
Senorise Perry,MIA,RB,0,0,0,30,0,3,0,0,0,0
Jay Prosch,HOU,RB,0,0,0,0,0,31,0,0,0,0
De'Veon Smith,NFL,RB,0,0,0,0,0,27,0,0,0,0
Patrick DiMarco,BUF,RB,0,0,0,-2,0,28,0,0,0,0
Keith Smith,OAK,RB,0,0,0,0,0,26,0,0,0,0
Andre Williams,NFL,RB,0,0,0,25,0,0,0,0,0,0
Josh Ferguson,IND,RB,0,0,0,5,0,16,0,0,0,0
David Fluellen,TEN,RB,0,0,0,21,0,0,0,0,0,0
Danny Vitale,CLE,RB,0,0,0,0,0,19,0,0,0,0
Michael Burton,CHI,RB,0,0,0,9,0,8,0,0,0,0
Taiwan Jones,BUF,RB,0,0,0,0,0,11,0,0,0,0
Raheem Mostert,SF,RB,0,0,0,30,0,0,0,0,0,1
Joe Kerridge,GB,RB,0,0,0,0,0,3,0,0,0,0
Justin Davis,LA,RB,0,0,0,1,0,0,0,0,0,0
Josh Adams,PHI,RB,0,0,0,0,0,0,0,0,0,0
Alex Armah,CAR,RB,0,0,0,0,0,0,0,0,0,0
Lamar Atkins,NFL,RB,0,0,0,0,0,0,0,0,0,0
Kalen Ballage,MIA,RB,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,NYG,RB,0,0,0,0,0,0,0,0,0,0
Nick Bawden,DET,RB,0,0,0,0,0,0,0,0,0,0
Reggie Bonnafon,CAR,RB,0,0,0,0,0,0,0,0,0,0
Mike Boone,MIN,RB,0,0,0,0,0,0,0,0,0,0
Joel Bouagnon,GB,RB,0,0,0,0,0,0,0,0,0,0
Trenton Cannon,NYJ,RB,0,0,0,0,0,0,0,0,0,0
Tra Carson,CIN,RB,0,0,0,0,0,0,0,0,0,0
Cethan Carter,CIN,RB,0,0,0,0,0,0,0,0,0,0
Martez Carter,WAS,RB,0,0,0,0,0,0,0,0,0,0
Nick Chubb,CLE,RB,0,0,0,0,0,0,0,0,0,0
Jordan Chunn,DAL,RB,0,0,0,0,0,0,0,0,0,0
Lavon Coleman,HOU,RB,0,0,0,0,0,0,0,0,0,0
Tim Cook,JAX,RB,0,0,0,0,0,0,0,0,0,0
Justin Crawford,ATL,RB,0,0,0,0,0,0,0,0,0,0
Dalton Crossan,TB,RB,0,0,0,0,0,0,0,0,0,0
Kenneth Dixon,BAL,RB,0,0,0,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,0,0,0,0,0,0,0,0,0,0
Gus Edwards,BAL,RB,0,0,0,0,0,0,0,0,0,0
Dimitri Flowers,NYJ,RB,0,0,0,0,0,0,0,0,0,0
Quinton Flowers,CIN,RB,0,0,0,0,0,0,0,0,0,0
Jarvion Franklin,PIT,RB,0,0,0,0,0,0,0,0,0,0
Royce Freeman,DEN,RB,0,0,0,0,0,0,0,0,0,0
Aaron Green,NFL,RB,0,0,0,0,0,0,0,0,0,0
Derrius Guice,WAS,RB,0,0,0,0,0,0,0,0,0,0
Russell Hansbrough,LAC,RB,0,0,0,0,0,0,0,0,0,0
Khalid Hill,SEA,RB,0,0,0,0,0,0,0,0,0,0
Dontrell Hilliard,CLE,RB,0,0,0,0,0,0,0,0,0,0
Nyheim Hines,IND,RB,0,0,0,0,0,0,0,0,0,0
Justin Jackson,LAC,RB,0,0,0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,0,0,0,0,0,0,0,0,0,0
Malcolm Johnson,SF,RB,0,0,0,0,0,0,0,0,0,0
Ronald Jones,TB,RB,0,0,0,0,0,0,0,0,0,0
John Kelly,LA,RB,0,0,0,0,0,0,0,0,0,0
Daniel Lasco,NO,RB,0,0,0,0,0,0,0,0,0,0
Zach Laskey,NFL,RB,0,0,0,0,0,0,0,0,0,0
Phillip Lindsay,DEN,RB,0,0,0,0,0,0,0,0,0,0
T.J. Logan,ARI,RB,0,0,0,0,0,0,0,0,0,0
Terrence Magee,ATL,RB,0,0,0,0,0,0,0,0,0,0
Anthony Manzo-Lewis,LAC,RB,0,0,0,0,0,0,0,0,0,0
Keith Marshall,WAS,RB,0,0,0,0,0,0,0,0,0,0
Daniel Marx,ATL,RB,0,0,0,0,0,0,0,0,0,0
Jeremy McNichols,SF,RB,0,0,0,0,0,0,0,0,0,0
Luke McNitt,ATL,RB,0,0,0,0,0,0,0,0,0,0
Christine Michael,IND,RB,0,0,0,0,0,0,0,0,0,0
Sony Michel,NE,RB,0,0,0,0,0,0,0,0,0,0
Taquan Mizzell,CHI,RB,0,0,0,0,0,0,0,0,0,0
J.D. Moore,KC,RB,0,0,0,0,0,0,0,0,0,0
Ryan Nall,CHI,RB,0,0,0,0,0,0,0,0,0,0
Detrez Newsome,LAC,RB,0,0,0,0,0,0,0,0,0,0
Rashaad Penny,SEA,RB,0,0,0,0,0,0,0,0,0,0
Henry Poggi,NFL,RB,0,0,0,0,0,0,0,0,0,0
Troymaine Pope,HOU,RB,0,0,0,0,0,0,0,0,0,0
DJ Pumphrey,PHI,RB,0,0,0,0,0,0,0,0,0,0
Brandon Radcliff,MIA,RB,0,0,0,0,0,0,0,0,0,0
Austin Ramesh,NFL,RB,0,0,0,0,0,0,0,0,0,0
Demario Richard,NFL,RB,0,0,0,0,0,0,0,0,0,0
Sam Rogers,NFL,RB,0,0,0,0,0,0,0,0,0,0
Bishop Sankey,NFL,RB,0,0,0,0,0,0,0,0,0,0
Bo Scarbrough,DAL,RB,0,0,0,0,0,0,0,0,0,0
Boston Scott,NO,RB,0,0,0,0,0,0,0,0,0,0
Jalen Simmons,NYG,RB,0,0,0,0,0,0,0,0,0,0
Ito Smith,ATL,RB,0,0,0,0,0,0,0,0,0,0
Shane Smith,NYG,RB,0,0,0,0,0,0,0,0,0,0
Johnny Stanton,MIN,RB,0,0,0,0,0,0,0,0,0,0
James Summers,PIT,RB,0,0,0,0,0,0,0,0,0,0
Terry Swanson,HOU,RB,0,0,0,0,0,0,0,0,0,0
Roc Thomas,MIN,RB,0,0,0,0,0,0,0,0,0,0
Mark Thompson,BAL,RB,0,0,0,0,0,0,0,0,0,0
Lenard Tillery,NFL,RB,0,0,0,0,0,0,0,0,0,0
De'Lance Turner,BAL,RB,0,0,0,0,0,0,0,0,0,0
Akrum Wadley,TEN,RB,0,0,0,0,0,0,0,0,0,0
Mark Walton,CIN,RB,0,0,0,0,0,0,0,0,0,0
Spencer Ware,KC,RB,0,0,0,0,0,0,0,0,0,0
Chris Warren,OAK,RB,0,0,0,0,0,0,0,0,0,0
Ralph Webb,NE,RB,0,0,0,0,0,0,0,0,0,0
Elijah Wellman,WAS,RB,0,0,0,0,0,0,0,0,0,0
Brandon Wilds,JAX,RB,0,0,0,0,0,0,0,0,0,0
Jordan Wilkins,IND,RB,0,0,0,0,0,0,0,0,0,0
Darrel Williams,KC,RB,0,0,0,0,0,0,0,0,0,0
David Williams,DEN,RB,0,0,0,0,0,0,0,0,0,0
Jarveon Williams,CIN,RB,0,0,0,0,0,0,0,0,0,0
Joe Williams,SF,RB,0,0,0,0,0,0,0,0,0,0
Jonathan Williams,NO,RB,0,0,0,0,0,0,0,0,0,0
Malik Williams,ATL,RB,0,0,0,0,0,0,0,0,0,0
Marquez Williams,CLE,RB,0,0,0,0,0,0,0,0,0,0
Trey Williams,DAL,RB,0,0,0,0,0,0,0,0,0,0
Brandon Wilson,CIN,RB,0,0,0,0,0,0,0,0,0,0
Jeff Wilson,SF,RB,0,0,0,0,0,0,0,0,0,0
Shaun Wilson,TB,RB,0,0,0,0,0,0,0,0,0,0
Bronson Hill,NFL,RB,0,0,0,-2,0,0,0,0,0,0
Devante Mays,GB,RB,0,0,0,1,0,0,0,0,0,1
Terrance West,NO,RB,0,0,0,0,0,0,0,0,0,0
Rob Gronkowski,NE,TE,0,0,0,0,0,1084,8,0,1,0
Travis Kelce,KC,TE,0,0,1,7,0,1038,8,0,0,0
Zach Ertz,PHI,TE,0,0,0,0,0,824,8,0,0,1
Jimmy Graham,GB,TE,0,0,0,0,0,520,10,0,1,0
Evan Engram,NYG,TE,0,0,0,14,0,722,6,0,0,0
Kyle Rudolph,MIN,TE,0,0,0,0,0,532,8,0,0,0
Delanie Walker,TEN,TE,0,0,0,-2,1,807,3,0,0,2
Cameron Brate,TB,TE,0,0,0,0,0,591,6,0,0,0
Jack Doyle,IND,TE,0,0,0,0,0,690,4,0,0,2
Tyler Kroft,CIN,TE,0,0,0,0,0,404,7,0,0,0
Hunter Henry,LAC,TE,0,0,0,0,0,579,4,0,0,0
Eric Ebron,IND,TE,0,0,0,0,0,574,4,0,0,1
Jared Cook,OAK,TE,0,0,0,0,0,688,2,0,0,1
Vernon Davis,WAS,TE,0,0,0,0,0,648,3,0,0,2
Benjamin Watson,NO,TE,0,0,0,0,0,522,4,0,0,0
O.J. Howard,TB,TE,0,0,0,0,0,432,6,0,0,2
Austin Hooper,ATL,TE,0,0,0,0,0,526,3,0,0,0
Charles Clay,BUF,TE,0,0,0,0,0,558,2,0,0,0
Marcedes Lewis,GB,TE,0,0,0,0,0,318,5,0,1,0
George Kittle,SF,TE,0,0,0,0,0,515,2,0,0,0
David Njoku,CLE,TE,0,0,0,1,0,386,4,0,0,0
Garrett Celek,SF,TE,0,0,0,0,0,336,4,0,0,0
Trey Burton,CHI,TE,0,0,0,0,0,248,5,0,1,0
Julius Thomas,NFL,TE,0,0,0,0,0,388,3,0,0,0
Jesse James,PIT,TE,0,0,0,0,0,372,3,0,0,0
Austin Seferian-Jenkins,JAX,TE,0,0,0,0,0,357,3,0,0,1
Ed Dickson,SEA,TE,0,0,0,0,0,437,1,0,0,0
Antonio Gates,NFL,TE,0,0,0,0,0,316,3,0,0,0
Jermaine Gresham,ARI,TE,0,0,0,0,0,322,2,0,0,0
Nick O'Leary,BUF,TE,0,0,0,0,0,322,2,0,0,1
Coby Fleener,NFL,TE,0,0,0,0,0,295,2,0,0,0
Stephen Anderson,HOU,TE,0,0,0,0,0,342,1,0,0,0
Luke Willson,DET,TE,0,0,0,0,0,153,4,0,0,0
Ricky Seals-Jones,ARI,TE,0,0,0,0,0,201,3,0,0,0
Gerald Everett,LA,TE,0,0,0,13,0,244,2,0,0,1
